sentence,tokens,tags,Indicator
"Yesterday at 18:45, the engineer 1qaz2wsx3edc4rfv5tgb6yhn7ujm8iklop_123 accessed the server from IP 172.16.254.1 in San Francisco.","['Yesterday', 'at', '18:45', ',', 'the', 'engineer', '1qaz2wsx3edc4rfv5tgb6yhn7ujm8iklop_123', 'accessed', 'the', 'server', 'from', 'IP', '172.16.254.1', 'in', 'San', 'Francisco', '.']","['B-tim', 'O', 'B-tim', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'I-geo', 'O']",True
"At 09:00 AM, CEO Alice Johnson uploaded the file zxvbnm_09876lkjhgfdsapoiu-qwer123 to IP 10.0.0.254 from New York headquarters.","['At', '09:00', 'AM', ',', 'CEO', 'Alice', 'Johnson', 'uploaded', 'the', 'file', 'zxvbnm_09876lkjhgfdsapoiu-qwer123', 'to', 'IP', '10.0.0.254', 'from', 'New', 'York', 'headquarters', '.']","['O', 'B-tim', 'I-tim', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'B-geo', 'I-geo', 'O', 'O']",True
The device x1y2z3a4b5c6d7e8f9g0_hjklmno-pqrstuv was pinged at IP 192.0.2.146 during the Berlin conference.,"['The', 'device', 'x1y2z3a4b5c6d7e8f9g0_hjklmno-pqrstuv', 'was', 'pinged', 'at', 'IP', '192.0.2.146', 'during', 'the', 'Berlin', 'conference', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'O', 'B-geo', 'O', 'O']",True
Google's server 9ujm8iklop1234567890_qwertyuiop-asdfghjkl was attacked from IP 203.0.113.195 in Tokyo at dawn.,"['Google', ""'s"", 'server', '9ujm8iklop1234567890_qwertyuiop-asdfghjkl', 'was', 'attacked', 'from', 'IP', '203.0.113.195', 'in', 'Tokyo', 'at', 'dawn', '.']","['B-org', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O', 'B-tim', 'O']",True
Dr. Henry Wu used the token asdfghjklqwertyuiopzxcvbnm_12345 during the IP scan at 2001:db8::1 in Paris.,"['Dr.', 'Henry', 'Wu', 'used', 'the', 'token', 'asdfghjklqwertyuiopzxcvbnm_12345', 'during', 'the', 'IP', 'scan', 'at', '2001:db8::1', 'in', 'Paris', '.']","['O', 'B-per', 'I-per', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
"At the Microsoft conference, the token zxcvbnmasdfghjklqwertyuiop_0987654321 was assigned to IP 198.51.100.23 in Seattle.","['At', 'the', 'Microsoft', 'conference', ',', 'the', 'token', 'zxcvbnmasdfghjklqwertyuiop_0987654321', 'was', 'assigned', 'to', 'IP', '198.51.100.23', 'in', 'Seattle', '.']","['O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
"On Monday, the analyst 5tgb6yhn7ujm8iklop_1qaz2wsx3edc investigated IP 172.217.10.14 in Mountain View.","['On', 'Monday', ',', 'the', 'analyst', '5tgb6yhn7ujm8iklop_1qaz2wsx3edc', 'investigated', 'IP', '172.217.10.14', 'in', 'Mountain', 'View', '.']","['O', 'B-tim', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'B-geo', 'I-geo', 'O']",True
Amazon's token qwertyuiopasdfghjklzxcvbnm_1234 was logged from IP 54.239.25.192 in Dublin yesterday.,"['Amazon', ""'s"", 'token', 'qwertyuiopasdfghjklzxcvbnm_1234', 'was', 'logged', 'from', 'IP', '54.239.25.192', 'in', 'Dublin', 'yesterday', '.']","['B-org', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'B-tim', 'O']",True
The investigator Jane_Doe1234567890-token checked IP 2607:f8b0:4005:805::200e during the London summit.,"['The', 'investigator', 'Jane_Doe1234567890-token', 'checked', 'IP', '2607:f8b0:4005:805::200e', 'during', 'the', 'London', 'summit', '.']","['O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'O', 'B-geo', 'O', 'O']",True
"At 03:15 PM, the token 7ujm8iklopqazwsxedcrfvtgbnhy_09876 was used to access IP 131.107.0.89 in Chicago.","['At', '03:15', 'PM', ',', 'the', 'token', '7ujm8iklopqazwsxedcrfvtgbnhy_09876', 'was', 'used', 'to', 'access', 'IP', '131.107.0.89', 'in', 'Chicago', '.']","['O', 'B-tim', 'I-tim', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
Elon Musk deployed the token q1w2e3r4t5y6u7i8o9p0-zxvbnm_asdfghjk at IP 172.217.0.46 during the Silicon Valley event.,"['Elon', 'Musk', 'deployed', 'the', 'token', 'q1w2e3r4t5y6u7i8o9p0-zxvbnm_asdfghjk', 'at', 'IP', '172.217.0.46', 'during', 'the', 'Silicon', 'Valley', 'event', '.']","['B-per', 'I-per', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O']",True
"During the summit in Berlin, the token plmoknijbuhvygctfxrdzeswaq_123456789 was activated at IP 198.51.100.42.","['During', 'the', 'summit', 'in', 'Berlin', ',', 'the', 'token', 'plmoknijbuhvygctfxrdzeswaq_123456789', 'was', 'activated', 'at', 'IP', '198.51.100.42', '.']","['O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O']",True
Sarah Connor's token qwertyuiopasdfghjklzxcvbnm_09876 was linked to IP 203.0.113.10 in Los Angeles at noon.,"['Sarah', 'Connor', ""'s"", 'token', 'qwertyuiopasdfghjklzxcvbnm_09876', 'was', 'linked', 'to', 'IP', '203.0.113.10', 'in', 'Los', 'Angeles', 'at', 'noon', '.']","['B-per', 'I-per', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'I-geo', 'O', 'B-tim', 'O']",True
The token 1234567890qwertyuiopasdfghjkl_zxcvbnm was scanned from IP 10.10.10.10 in Sydney last night.,"['The', 'token', '1234567890qwertyuiopasdfghjkl_zxcvbnm', 'was', 'scanned', 'from', 'IP', '10.10.10.10', 'in', 'Sydney', 'last', 'night', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'B-tim', 'I-tim', 'O']",True
"At 22:10, the hacker used token qazwsxedcrfvtgbyhnujmiklop_12345 on IP 192.168.0.1 in Moscow.","['At', '22:10', ',', 'the', 'hacker', 'used', 'token', 'qazwsxedcrfvtgbyhnujmiklop_12345', 'on', 'IP', '192.168.0.1', 'in', 'Moscow', '.']","['O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
Facebook identified the token mnbvcxzlkjhgfdsapoiuytrewq_987654321 connected to IP 104.244.42.65 during the New York meeting.,"['Facebook', 'identified', 'the', 'token', 'mnbvcxzlkjhgfdsapoiuytrewq_987654321', 'connected', 'to', 'IP', '104.244.42.65', 'during', 'the', 'New', 'York', 'meeting', '.']","['B-org', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'B-IP', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O']",True
"At 7:30 AM, the system token poiuytrewqlkjhgfdsamnbvcxz_123456789 was registered at IP 192.0.2.33 in Toronto.","['At', '7:30', 'AM', ',', 'the', 'system', 'token', 'poiuytrewqlkjhgfdsamnbvcxz_123456789', 'was', 'registered', 'at', 'IP', '192.0.2.33', 'in', 'Toronto', '.']","['O', 'B-tim', 'I-tim', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
Microsoft engineer John_Doe_12345-token accessed IP 2606:4700:4700::1111 during the Seattle hackathon.,"['Microsoft', 'engineer', 'John_Doe_12345-token', 'accessed', 'IP', '2606:4700:4700::1111', 'during', 'the', 'Seattle', 'hackathon', '.']","['B-org', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'O', 'B-geo', 'O', 'O']",True
"At 13:00, the token 123qweasd_zxcvbpoiu-lkjhgf was used to connect to IP 198.51.100.17 in Boston.","['At', '13:00', ',', 'the', 'token', '123qweasd_zxcvbpoiu-lkjhgf', 'was', 'used', 'to', 'connect', 'to', 'IP', '198.51.100.17', 'in', 'Boston', '.']","['O', 'B-tim', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
Angela Merkel used the secure token lkjhgfdsapoiuytrewqzxcvbnm_456789 at IP 203.0.113.55 during the Berlin summit.,"['Angela', 'Merkel', 'used', 'the', 'secure', 'token', 'lkjhgfdsapoiuytrewqzxcvbnm_456789', 'at', 'IP', '203.0.113.55', 'during', 'the', 'Berlin', 'summit', '.']","['B-per', 'I-per', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'O', 'B-geo', 'O', 'O']",True
The token qazxswedcvfrtgbnhyujmikolp_09876 was detected at IP 10.1.1.1 in Amsterdam yesterday evening.,"['The', 'token', 'qazxswedcvfrtgbnhyujmikolp_09876', 'was', 'detected', 'at', 'IP', '10.1.1.1', 'in', 'Amsterdam', 'yesterday', 'evening', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'B-tim', 'I-tim', 'O']",True
Apple's security team activated the token zxcvbnmasdfghjklqwertyuiop_123456 at IP 17.172.224.47 in Cupertino.,"['Apple', ""'s"", 'security', 'team', 'activated', 'the', 'token', 'zxcvbnmasdfghjklqwertyuiop_123456', 'at', 'IP', '17.172.224.47', 'in', 'Cupertino', '.']","['B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
The hacker known as Neo_xyz_123456789-token used IP 172.217.3.110 during the Tokyo cyber attack.,"['The', 'hacker', 'known', 'as', 'Neo_xyz_123456789-token', 'used', 'IP', '172.217.3.110', 'during', 'the', 'Tokyo', 'cyber', 'attack', '.']","['O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'O', 'B-geo', 'O', 'O', 'O']",True
"At 08:00, the token poiuytrewqlkjhgfdsamnbvcxz_56789 was found at IP 198.51.100.100 in Madrid.","['At', '08:00', ',', 'the', 'token', 'poiuytrewqlkjhgfdsamnbvcxz_56789', 'was', 'found', 'at', 'IP', '198.51.100.100', 'in', 'Madrid', '.']","['O', 'B-tim', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
The token mnbvcxzlkjhgfdsapoiuytrewq_1122334455 was logged in IP 203.0.113.77 during the London conference.,"['The', 'token', 'mnbvcxzlkjhgfdsapoiuytrewq_1122334455', 'was', 'logged', 'in', 'IP', '203.0.113.77', 'during', 'the', 'London', 'conference', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'O', 'B-geo', 'O', 'O']",True
"During the 2023 summit, CEO Mark_Zuckerberg_token accessed IP 172.217.5.110 in San Jose.","['During', 'the', '2023', 'summit', ',', 'CEO', 'Mark_Zuckerberg_token', 'accessed', 'IP', '172.217.5.110', 'in', 'San', 'Jose', '.']","['O', 'O', 'B-tim', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'B-geo', 'I-geo', 'O']",True
The token qwertyuiopasdfghjklzxcvbnm_09876 was compromised at IP 10.0.0.1 in Vancouver yesterday.,"['The', 'token', 'qwertyuiopasdfghjklzxcvbnm_09876', 'was', 'compromised', 'at', 'IP', '10.0.0.1', 'in', 'Vancouver', 'yesterday', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'B-tim', 'O']",True
IBM's security token asdfghjklqwertyuiopzxcvbnm_123456 was found at IP 192.168.1.254 in Frankfurt.,"['IBM', ""'s"", 'security', 'token', 'asdfghjklqwertyuiopzxcvbnm_123456', 'was', 'found', 'at', 'IP', '192.168.1.254', 'in', 'Frankfurt', '.']","['B-org', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
The analyst used the token zxcvbnmasdfghjklpoiuytrewq_56789 on IP 203.0.113.5 during the Paris meeting.,"['The', 'analyst', 'used', 'the', 'token', 'zxcvbnmasdfghjklpoiuytrewq_56789', 'on', 'IP', '203.0.113.5', 'during', 'the', 'Paris', 'meeting', '.']","['O', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'O', 'B-geo', 'O', 'O']",True
"At 11:00 AM, the token qwertyuiopasdfghjklzxcvbnm_23456 was activated at IP 192.0.2.25 in Amsterdam.","['At', '11:00', 'AM', ',', 'the', 'token', 'qwertyuiopasdfghjklzxcvbnm_23456', 'was', 'activated', 'at', 'IP', '192.0.2.25', 'in', 'Amsterdam', '.']","['O', 'B-tim', 'I-tim', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
Tesla's token lkjhgfdsapoiuytrewqzxcvbnm_09876 was connected to IP 172.217.11.14 in Palo Alto.,"['Tesla', ""'s"", 'token', 'lkjhgfdsapoiuytrewqzxcvbnm_09876', 'was', 'connected', 'to', 'IP', '172.217.11.14', 'in', 'Palo', 'Alto', '.']","['B-org', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'I-geo', 'O']",True
The token qazwsxedcrfvtgbyhnujmikolp_123456 was scanned from IP 198.51.100.22 in Miami yesterday.,"['The', 'token', 'qazwsxedcrfvtgbyhnujmikolp_123456', 'was', 'scanned', 'from', 'IP', '198.51.100.22', 'in', 'Miami', 'yesterday', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'B-tim', 'O']",True
Mark Zuckerberg's token zxcvbnmasdfghjklqwertyuiop_123 was compromised at IP 203.0.113.88 during the New York summit.,"['Mark', 'Zuckerberg', ""'s"", 'token', 'zxcvbnmasdfghjklqwertyuiop_123', 'was', 'compromised', 'at', 'IP', '203.0.113.88', 'during', 'the', 'New', 'York', 'summit', '.']","['B-per', 'I-per', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O']",True
The token poiuytrewqlkjhgfdsamnbvcxz_78910 was found at IP 10.10.10.50 in Vancouver last night.,"['The', 'token', 'poiuytrewqlkjhgfdsamnbvcxz_78910', 'was', 'found', 'at', 'IP', '10.10.10.50', 'in', 'Vancouver', 'last', 'night', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'B-tim', 'I-tim', 'O']",True
IBM's security team activated the token asdfghjklqwertyuiopzxcvbnm_654321 at IP 192.168.1.100 in Frankfurt.,"['IBM', ""'s"", 'security', 'team', 'activated', 'the', 'token', 'asdfghjklqwertyuiopzxcvbnm_654321', 'at', 'IP', '192.168.1.100', 'in', 'Frankfurt', '.']","['B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
The token mnbvcxzlkjhgfdsapoiuytrewq_987654 was logged in IP 203.0.113.99 during the London conference.,"['The', 'token', 'mnbvcxzlkjhgfdsapoiuytrewq_987654', 'was', 'logged', 'in', 'IP', '203.0.113.99', 'during', 'the', 'London', 'conference', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'O', 'B-geo', 'O', 'O']",True
"During the 2024 summit, CTO Lisa_Smith_token accessed IP 172.217.10.45 in San Jose.","['During', 'the', '2024', 'summit', ',', 'CTO', 'Lisa_Smith_token', 'accessed', 'IP', '172.217.10.45', 'in', 'San', 'Jose', '.']","['O', 'O', 'B-tim', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'B-geo', 'I-geo', 'O']",True
The token qwertyuiopasdfghjklzxcvbnm_56789 was compromised at IP 10.0.0.5 in Vancouver yesterday.,"['The', 'token', 'qwertyuiopasdfghjklzxcvbnm_56789', 'was', 'compromised', 'at', 'IP', '10.0.0.5', 'in', 'Vancouver', 'yesterday', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'B-tim', 'O']",True
Amazon's token zxcvbnmasdfghjklqwertyuiop_112233 was found at IP 54.239.25.192 in Dublin.,"['Amazon', ""'s"", 'token', 'zxcvbnmasdfghjklqwertyuiop_112233', 'was', 'found', 'at', 'IP', '54.239.25.192', 'in', 'Dublin', '.']","['B-org', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
The hacker known as Neo_xyz_0987654321-token used IP 172.217.3.111 during the Tokyo cyber attack.,"['The', 'hacker', 'known', 'as', 'Neo_xyz_0987654321-token', 'used', 'IP', '172.217.3.111', 'during', 'the', 'Tokyo', 'cyber', 'attack', '.']","['O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'O', 'B-geo', 'O', 'O', 'O']",True
"At 14:00, the token qwertyuiopasdfghjklzxcvbnm_12345 was used to connect to IP 198.51.100.20 in Boston.","['At', '14:00', ',', 'the', 'token', 'qwertyuiopasdfghjklzxcvbnm_12345', 'was', 'used', 'to', 'connect', 'to', 'IP', '198.51.100.20', 'in', 'Boston', '.']","['O', 'B-tim', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
Angela Merkel used the secure token lkjhgfdsapoiuytrewqzxcvbnm_654321 at IP 203.0.113.60 during the Berlin summit.,"['Angela', 'Merkel', 'used', 'the', 'secure', 'token', 'lkjhgfdsapoiuytrewqzxcvbnm_654321', 'at', 'IP', '203.0.113.60', 'during', 'the', 'Berlin', 'summit', '.']","['B-per', 'I-per', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'O', 'B-geo', 'O', 'O']",True
The token qazxswedcvfrtgbnhyujmikolp_987654 was detected at IP 10.1.1.10 in Amsterdam yesterday evening.,"['The', 'token', 'qazxswedcvfrtgbnhyujmikolp_987654', 'was', 'detected', 'at', 'IP', '10.1.1.10', 'in', 'Amsterdam', 'yesterday', 'evening', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'B-tim', 'I-tim', 'O']",True
Apple's security team activated the token zxcvbnmasdfghjklqwertyuiop_789012 at IP 17.172.224.50 in Cupertino.,"['Apple', ""'s"", 'security', 'team', 'activated', 'the', 'token', 'zxcvbnmasdfghjklqwertyuiop_789012', 'at', 'IP', '17.172.224.50', 'in', 'Cupertino', '.']","['B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
The hacker Neo_xyz_456789token used IP 2606:4700:4700::1112 during the Seattle hackathon.,"['The', 'hacker', 'Neo_xyz_456789token', 'used', 'IP', '2606:4700:4700::1112', 'during', 'the', 'Seattle', 'hackathon', '.']","['O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'O', 'B-geo', 'O', 'O']",True
"At 16:00, the token 123qweasd_zxcvbpoiu-lkjhgf was used to connect to IP 198.51.100.30 in Boston.","['At', '16:00', ',', 'the', 'token', '123qweasd_zxcvbpoiu-lkjhgf', 'was', 'used', 'to', 'connect', 'to', 'IP', '198.51.100.30', 'in', 'Boston', '.']","['O', 'B-tim', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
Tesla's token lkjhgfdsapoiuytrewqzxcvbnm_345678 was connected to IP 172.217.11.20 in Palo Alto.,"['Tesla', ""'s"", 'token', 'lkjhgfdsapoiuytrewqzxcvbnm_345678', 'was', 'connected', 'to', 'IP', '172.217.11.20', 'in', 'Palo', 'Alto', '.']","['B-org', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'I-geo', 'O']",True
The token qazwsxedcrfvtgbyhnujmikolp_112233 was scanned from IP 198.51.100.40 in Miami yesterday.,"['The', 'token', 'qazwsxedcrfvtgbyhnujmikolp_112233', 'was', 'scanned', 'from', 'IP', '198.51.100.40', 'in', 'Miami', 'yesterday', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'B-tim', 'O']",True
Mark Zuckerberg's token zxcvbnmasdfghjklqwertyuiop_456789 was compromised at IP 203.0.113.90 during the New York summit.,"['Mark', 'Zuckerberg', ""'s"", 'token', 'zxcvbnmasdfghjklqwertyuiop_456789', 'was', 'compromised', 'at', 'IP', '203.0.113.90', 'during', 'the', 'New', 'York', 'summit', '.']","['B-per', 'I-per', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O']",True
The token poiuytrewqlkjhgfdsamnbvcxz_234567 was found at IP 10.10.10.60 in Vancouver last night.,"['The', 'token', 'poiuytrewqlkjhgfdsamnbvcxz_234567', 'was', 'found', 'at', 'IP', '10.10.10.60', 'in', 'Vancouver', 'last', 'night', '.']","['O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'B-tim', 'I-tim', 'O']",True
IBM's security team activated the token asdfghjklqwertyuiopzxcvbnm_789012 at IP 192.168.1.150 in Frankfurt.,"['IBM', ""'s"", 'security', 'team', 'activated', 'the', 'token', 'asdfghjklqwertyuiopzxcvbnm_789012', 'at', 'IP', '192.168.1.150', 'in', 'Frankfurt', '.']","['B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
The analyst used the token mnbvcxzlkjhgfdsapoiuytrewq_345678 on IP 203.0.113.15 during the Paris meeting.,"['The', 'analyst', 'used', 'the', 'token', 'mnbvcxzlkjhgfdsapoiuytrewq_345678', 'on', 'IP', '203.0.113.15', 'during', 'the', 'Paris', 'meeting', '.']","['O', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'B-IP', 'O', 'O', 'B-geo', 'O', 'O']",True
